PC1,R_1,PC2,R_2,PC3,R_3,PC4,R_4
BUN CREAT RATIO,-0.04614,VITAMIN D  25 OH TOT,-0.26011,URIC ACID,-0.15562,CARBON DIOXIDE  CO2 ,-0.053758
ARACHIDONIC ACID,-0.049679,CARBON DIOXIDE  CO2 ,-0.2642,MONOCYTES,-0.16435,PROTEIN  TOTAL SERUM,-0.073687
BILIRUBIN  TOTAL,-0.050213,A G RATIO,-0.27234,CALCIUM,-0.17268,MCH,-0.074029
MONOCYTES,-0.086518,ASAT  SGOT ,-0.29903,CARBON DIOXIDE  CO2 ,-0.18754,OMEGA 6 OMEGA 3 RATIO,-0.075271
CHLORIDE,-0.10256,ALBUMIN,-0.30096,ARACHIDONIC ACID,-0.18966,CREATININE ENZ  SER,-0.10125
CARBON DIOXIDE  CO2 ,-0.10955,BILIRUBIN  TOTAL,-0.30203,FERRITIN,-0.2154,FERRITIN,-0.10382
OMEGA 6 TOTAL,-0.19995,MCH,-0.30281,LDL PARTICLE NUMBER,-0.2183,GFR  MDRD,-0.10597
BASOPHILS,-0.21869,CALCIUM,-0.31375,CREATININE ENZ  SER,-0.2244,GFR  MDRD  AFRICAN AM,-0.10761
LYMPHOCYTES,-0.23254,ALAT  SGPT ,-0.3244,LYMPHOCYTES,-0.22923,A G RATIO,-0.10996
MCH,-0.24174,MCHC,-0.35144,CHOLESTEROL  TOTAL,-0.24903,OMEGA 6 TOTAL,-0.12317
LINOLEIC ACID,-0.29321,UREA NITROGEN,-0.37389,BILIRUBIN  TOTAL,-0.26965,MCHC,-0.15271
A G RATIO,-0.31266,FERRITIN,-0.37415,MCH,-0.27401,ALBUMIN,-0.16673
DPA,-0.31401,URIC ACID,-0.40352,RED CELL COUNT,-0.28999,DPA,-0.18975
HDL PARTICLE NUMBER,-0.31647,RED CELL COUNT,-0.41769,A G RATIO,-0.29818,RED CELL COUNT,-0.22916
MCV,-0.32557,CREATININE ENZ  SER,-0.4179,LINOLEIC ACID,-0.30858,MONOCYTES ABSOLUTE,-0.24007
VITAMIN D  25 OH TOT,-0.36708,HEMATOCRIT,-0.57174,LDL CHOL CALCULATION,-0.32597,WHITE CELL COUNT,-0.25425
EPA,-0.4235,HEMOGLOBIN,-0.60504,MCHC,-0.35756,HEMATOCRIT,-0.25996
DHA,-0.47984,DHA,-0.60947,HEMATOCRIT,-0.40826,HEMOGLOBIN,-0.2755
OMEGA 3 INDEX,-0.48169,EPA,-0.62151,ALBUMIN,-0.41017,BILIRUBIN  TOTAL,-0.28178
OMEGA 3 TOTAL,-0.48177,DPA,-0.66114,OMEGA 6 TOTAL,-0.4281,ARACHIDONIC ACID,-0.36779
LDL SIZE,-0.49536,OMEGA 3 TOTAL,-0.69016,OMEGA 6 OMEGA 3 RATIO,-0.44343,TOTAL NEUTROPHILS AB,-0.40459
HDL CHOL DIRECT,-0.63497,OMEGA 3 INDEX,-0.69022,HEMOGLOBIN,-0.46526,TOTAL NEUTROPHILS,-0.51155
